FromNodeId	ToNodeId
0	1
0	6309
0	6353
1	0
6353	0
6353	6354
6353	6364
6353	6386
6309	0
6309	6310
6309	6344
2	3
2	4
2	7
3	2
3	309
4	2
4	273
4	274
4	388
7	2
7	8
7	16
7	3998
309	3
309	6
309	274
309	1060390
273	4
273	3861
273	3862
273	3872
274	4
274	309
274	3862
274	1060215
388	4
388	389
388	4005
388	4006
5	6
5	8
5	9
6	5
6	305
6	309
6	310
6	1060307
9	5
9	12
9	10464
8	5
8	7
305	6
310	6
310	15
310	311
1060307	6
1060307	1060308
1060307	1087545
16	7
16	17
16	18
3998	7
3998	3999
3998	4006
12	9
12	13
12	14
10464	9
10464	311
10	11
10	22
10	77
11	10
11	44
22	10
22	44
22	58
22	69
77	10
77	76
77	197
44	11
44	22
44	45
44	51
13	12
14	12
14	15
14	20
15	14
15	310
15	312
20	14
20	19
20	24
20	312
312	15
312	20
312	26
312	1060297
17	16
18	16
18	24
18	266
266	18
266	303
24	18
24	20
24	23
24	303
19	20
19	21
19	23
19	25
21	19
23	19
23	24
23	38
25	19
25	26
25	29
58	22
58	50
58	70
69	22
69	70
69	76
69	83
38	23
38	39
38	52
303	24
303	39
303	266
303	304
26	25
26	37
26	312
26	1060297
29	25
29	27
29	314
37	26
37	36
37	313
37	1059795
1060297	26
1060297	312
1060297	1059754
1060297	1059796
27	28
27	29
27	30
28	27
30	27
30	31
30	32
314	29
314	315
314	316
31	30
32	30
32	33
32	34
33	32
34	32
34	35
34	36
35	34
36	34
36	37
36	40
